timestamp,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1403774724242380,INS_SOLUTION_GOOD,51.765477,-1.258721,110.498172,5736388.774541,620159.095060,-110.498172,30U,-0.010579,-0.008852,-0.063039,-0.085541,-0.006990,1.089724
1403774724264482,INS_SOLUTION_GOOD,51.765477,-1.258721,110.499434,5736388.774314,620159.094858,-110.499434,30U,-0.010392,-0.008765,-0.063232,-0.085536,-0.006993,1.089721
1403774724282238,INS_SOLUTION_GOOD,51.765477,-1.258721,110.500699,5736388.774088,620159.094726,-110.500699,30U,-0.010312,-0.008941,-0.063350,-0.085534,-0.006996,1.089727
1403774724302130,INS_SOLUTION_GOOD,51.765477,-1.258721,110.501964,5736388.773861,620159.094524,-110.501964,30U,-0.010353,-0.009133,-0.063215,-0.085528,-0.006998,1.089725
1403774724322243,INS_SOLUTION_GOOD,51.765477,-1.258721,110.503228,5736388.773635,620159.094391,-110.503228,30U,-0.010375,-0.009309,-0.063187,-0.085521,-0.007000,1.089729
1403774724342375,INS_SOLUTION_GOOD,51.765477,-1.258721,110.504490,5736388.773519,620159.094187,-110.504490,30U,-0.010215,-0.009420,-0.063063,-0.085513,-0.007002,1.089723
1403774724372380,INS_SOLUTION_GOOD,51.765477,-1.258721,110.505751,5736388.773291,620159.093985,-110.505751,30U,-0.010014,-0.009527,-0.062981,-0.085504,-0.006999,1.089726
1403774724382003,INS_SOLUTION_GOOD,51.765477,-1.258721,110.507010,5736388.773064,620159.093783,-110.507010,30U,-0.009837,-0.009703,-0.062973,-0.085501,-0.006997,1.089722
1403774724404131,INS_SOLUTION_GOOD,51.765477,-1.258721,110.508272,5736388.772838,620159.093651,-110.508272,30U,-0.009653,-0.010068,-0.063191,-0.085499,-0.006994,1.089725
1403774724422229,INS_SOLUTION_GOOD,51.765477,-1.258721,110.509535,5736388.772611,620159.093449,-110.509535,30U,-0.009496,-0.010326,-0.063079,-0.085501,-0.006991,1.089721
1403774724442514,INS_SOLUTION_GOOD,51.765477,-1.258721,110.510799,5736388.772495,620159.093245,-110.510799,30U,-0.009065,-0.010415,-0.063350,-0.085508,-0.006987,1.089726
1403774724464303,INS_SOLUTION_GOOD,51.765477,-1.258721,110.512069,5736388.772267,620159.093043,-110.512069,30U,-0.008776,-0.010300,-0.063655,-0.085512,-0.006985,1.089723
1403774724482395,INS_SOLUTION_GOOD,51.765477,-1.258721,110.513343,5736388.772151,620159.092839,-110.513343,30U,-0.008394,-0.010148,-0.063792,-0.085522,-0.006979,1.089726
1403774724502259,INS_SOLUTION_GOOD,51.765477,-1.258721,110.514621,5736388.771924,620159.092637,-110.514621,30U,-0.008372,-0.010196,-0.063937,-0.085529,-0.006976,1.089726
1403774724522177,INS_SOLUTION_GOOD,51.765477,-1.258721,110.515902,5736388.771808,620159.092433,-110.515902,30U,-0.008292,-0.010148,-0.064160,-0.085532,-0.006975,1.089730
1403774724542182,INS_SOLUTION_GOOD,51.765477,-1.258721,110.455657,5736388.788638,620159.102939,-110.455657,30U,-0.007084,-0.008919,-0.060112,-0.085545,-0.006982,1.089783
1403774724570536,INS_SOLUTION_GOOD,51.765477,-1.258721,110.456861,5736388.788411,620159.102737,-110.456861,30U,-0.007380,-0.009123,-0.060245,-0.085549,-0.006983,1.089782
1403774724582559,INS_SOLUTION_GOOD,51.765477,-1.258721,110.458065,5736388.788294,620159.102533,-110.458065,30U,-0.007473,-0.009261,-0.060194,-0.085554,-0.006983,1.089780
1403774724602101,INS_SOLUTION_GOOD,51.765477,-1.258721,110.459270,5736388.788180,620159.102398,-110.459270,30U,-0.007858,-0.009347,-0.060283,-0.085557,-0.006987,1.089780
