timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1417176458788493,8,51.760616,-1.261326,60.742896,2.977701,1.724755,4.674294,5735843.900159,619992.226175,-60.742896,30U
1417176458988494,8,51.760616,-1.261327,60.777462,2.977625,1.724718,4.674131,5735843.910447,619992.211995,-60.777462,30U
1417176459188494,8,51.760616,-1.261327,60.799725,2.977772,1.724700,4.674670,5735843.915657,619992.202089,-60.799725,30U
1417176459388495,8,51.760616,-1.261327,60.782946,2.977460,1.724543,4.673733,5735843.910560,619992.204619,-60.782946,30U
1417176459588496,8,51.760616,-1.261327,60.780582,2.977458,1.725017,4.673773,5735843.927914,619992.208415,-60.780582,30U
1417176459788497,8,51.760616,-1.261327,60.813278,2.977318,1.724830,4.673304,5735843.931477,619992.187426,-60.813278,30U
1417176459988497,8,51.760616,-1.261327,60.807485,2.977242,1.724793,4.673140,5735843.943663,619992.193310,-60.807485,30U
1417176460188498,8,51.760616,-1.261327,60.808303,2.977022,1.724516,4.672533,5735843.947014,619992.189876,-60.808303,30U
1417176460388499,8,51.760616,-1.261327,60.816369,2.977090,1.724504,4.673029,5735843.961112,619992.195947,-60.816369,30U
1417176460588499,8,51.760616,-1.261327,60.825823,2.976844,1.724525,4.672260,5735843.957018,619992.197107,-60.825823,30U
1417176460788500,8,51.760616,-1.261327,60.821680,2.976879,1.724645,4.672657,5735843.962386,619992.200487,-60.821680,30U
1417176460988501,8,51.760616,-1.261327,60.816366,2.976803,1.724608,4.672493,5735843.969924,619992.201107,-60.816366,30U
1417176461188501,8,51.760616,-1.261326,60.796076,2.976880,1.724507,4.672459,5735843.981419,619992.212361,-60.796076,30U
1417176461388502,8,51.760616,-1.261326,60.794607,2.976807,1.724897,4.672677,5735843.990631,619992.215319,-60.794607,30U
1417176461588503,8,51.760616,-1.261326,60.804264,2.976770,1.724426,4.672389,5735843.986578,619992.215119,-60.804264,30U
1417176461788504,8,51.760617,-1.261327,60.822001,2.976822,1.724586,4.672672,5735844.002536,619992.203836,-60.822001,30U
1417176461988504,8,51.760617,-1.261327,60.836354,2.976746,1.724549,4.672508,5735844.005484,619992.200959,-60.836354,30U
1417176462188505,8,51.760616,-1.261327,60.834322,2.976618,1.724513,4.672140,5735843.997351,619992.189662,-60.834322,30U
1417176462388506,8,51.760616,-1.261327,60.839326,2.976603,1.724489,4.672381,5735843.999428,619992.193848,-60.839326,30U
1417176462588506,8,51.760617,-1.261327,60.829858,2.976677,1.724427,4.672598,5735844.007786,619992.188587,-60.829858,30U
1417176462788507,8,51.760617,-1.261327,60.836996,2.976523,1.724351,4.672420,5735844.006556,619992.188543,-60.836996,30U
1417176462988508,8,51.760617,-1.261327,60.815128,2.976448,1.724314,4.672256,5735844.008262,619992.192603,-60.815128,30U
1417176463188508,8,51.760617,-1.261327,60.813993,2.978339,1.724585,4.678049,5735844.015648,619992.196624,-60.813993,30U
