timestamp,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1403772868980061,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088955,5736393.709887,620164.983668,-113.088955,30U,0.022787,-0.016062,0.002881,-0.074890,-0.010724,1.088534
1403772868994433,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088896,5736393.710323,620164.983312,-113.088896,30U,0.023006,-0.016141,0.002961,-0.074894,-0.010726,1.088539
1403772869012540,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088838,5736393.710762,620164.983026,-113.088838,30U,0.023329,-0.016120,0.002873,-0.074903,-0.010725,1.088546
1403772869032248,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088780,5736393.711198,620164.982670,-113.088780,30U,0.023884,-0.016298,0.002859,-0.074908,-0.010725,1.088556
1403772869052700,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088723,5736393.711746,620164.982312,-113.088723,30U,0.024278,-0.016600,0.002830,-0.074916,-0.010726,1.088568
1403772869075073,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088666,5736393.712183,620164.981956,-113.088666,30U,0.024471,-0.016707,0.002703,-0.074921,-0.010723,1.088578
1403772869094366,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088612,5736393.712621,620164.981670,-113.088612,30U,0.024574,-0.016850,0.002681,-0.074925,-0.010719,1.088588
1403772869112367,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088559,5736393.713169,620164.981311,-113.088559,30U,0.024808,-0.017009,0.002700,-0.074928,-0.010714,1.088592
1403772869132179,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088505,5736393.713605,620164.980956,-113.088505,30U,0.024795,-0.017059,0.002640,-0.074927,-0.010709,1.088595
1403772869152214,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088455,5736393.714153,620164.980597,-113.088455,30U,0.024880,-0.017464,0.002492,-0.074924,-0.010707,1.088597
1403772869180149,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088409,5736393.714590,620164.980242,-113.088409,30U,0.024852,-0.017492,0.002080,-0.074925,-0.010704,1.088598
1403772869194088,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088369,5736393.715137,620164.979883,-113.088369,30U,0.024844,-0.017568,0.002061,-0.074926,-0.010706,1.088597
1403772869213334,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088329,5736393.715574,620164.979528,-113.088329,30U,0.024740,-0.017577,0.002094,-0.074928,-0.010706,1.088590
1403772869232208,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088290,5736393.716120,620164.979101,-113.088290,30U,0.025039,-0.017634,0.002001,-0.074926,-0.010709,1.088586
1403772869252584,INS_SOLUTION_GOOD,51.765520,-1.258634,113.088248,5736393.716557,620164.978745,-113.088248,30U,0.025359,-0.017850,0.002119,-0.074924,-0.010715,1.088580
