timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1418132417389511,8,51.760845,-1.261848,59.944947,1.911842,1.817686,4.460201,5735868.534241,619955.590047,-59.944947,30U
1418132417589544,8,51.760845,-1.261848,59.978961,1.911824,1.817699,4.460043,5735868.576261,619955.583415,-59.978961,30U
1418132417789576,8,51.760847,-1.261847,59.641609,1.904384,1.815767,4.445807,5735868.759224,619955.656611,-59.641609,30U
1418132417989475,8,51.760848,-1.261846,59.344576,1.903942,1.815668,4.444741,5735868.921761,619955.737276,-59.344576,30U
1418132418189476,8,51.760849,-1.261846,59.187954,1.903913,1.815679,4.444585,5735869.005462,619955.766922,-59.187954,30U
1418132418389503,8,51.760849,-1.261846,59.158918,1.901326,1.815025,4.439606,5735869.032803,619955.775384,-59.158918,30U
1418132418589535,8,51.760852,-1.261843,58.407963,1.901307,1.815039,4.439449,5735869.386274,619955.929008,-58.407963,30U
1418132418789372,8,51.760853,-1.261843,58.168267,1.897640,1.814106,4.432266,5735869.427855,619955.970959,-58.168267,30U
1418132418989404,8,51.760853,-1.261842,58.031060,1.894197,1.670683,4.158738,5735869.402052,619956.033413,-58.031060,30U
1418132419189433,8,51.760851,-1.261842,58.269154,1.893007,1.670613,4.157641,5735869.244782,619956.007661,-58.269154,30U
1418132419389465,8,51.760851,-1.261842,58.285196,1.892881,1.670644,4.157384,5735869.258125,619956.005019,-58.285196,30U
1418132419589326,8,51.760850,-1.261842,58.388859,1.891424,1.670438,4.155988,5735869.130584,619956.018130,-58.388859,30U
1418132419789271,8,51.760851,-1.261842,58.299386,1.890440,1.670464,4.155222,5735869.199432,619956.024148,-58.299386,30U
1418132419989303,8,51.760850,-1.261842,58.359835,1.887189,1.670449,4.152724,5735869.134612,619956.005558,-58.359835,30U
1418132420189335,8,51.760851,-1.261842,58.332943,1.887903,1.670409,4.153082,5735869.175910,619956.000049,-58.332943,30U
1418132420389363,8,51.760850,-1.261842,58.299790,1.884361,1.670445,4.150461,5735869.139350,619956.010173,-58.299790,30U
1418132420589389,8,51.760849,-1.261842,58.331550,1.884510,1.670477,4.150473,5735869.040105,619956.012514,-58.331550,30U
1418132420789314,8,51.760849,-1.261842,58.389548,1.883983,1.670200,4.149536,5735868.970741,619956.010219,-58.389548,30U
1418132420989300,8,51.760848,-1.261842,58.433377,1.885011,1.670337,4.150311,5735868.938173,619956.011586,-58.433377,30U
1418132421189332,8,51.760848,-1.261843,58.560381,1.882473,1.670324,4.148376,5735868.895069,619955.969786,-58.560381,30U
1418132421389364,8,51.760848,-1.261842,58.431983,1.881370,1.670204,4.147205,5735868.936176,619955.991220,-58.431983,30U
1418132421589396,8,51.760848,-1.261843,58.507114,1.881350,1.670219,4.147048,5735868.889359,619955.987726,-58.507114,30U
1418132421789397,8,51.760848,-1.261843,58.516230,1.879196,1.670097,4.145256,5735868.889437,619955.983634,-58.516230,30U
1418132421989389,8,51.760842,-1.261843,59.281544,1.879026,1.669954,4.144686,5735868.266181,619955.938436,-59.281544,30U
1418132422189421,8,51.760841,-1.261843,59.422645,1.877204,1.670182,4.143664,5735868.093380,619955.956906,-59.422645,30U
1418132422389453,8,51.760840,-1.261844,59.587579,1.876180,1.670194,4.142826,5735867.978131,619955.930316,-59.587579,30U
1418132422589485,8,51.760840,-1.261844,59.578907,1.876159,1.670209,4.142669,5735867.979604,619955.928654,-59.578907,30U
1418132422789517,8,51.760840,-1.261844,59.560781,1.873808,1.669941,4.140563,5735867.987008,619955.928009,-59.560781,30U
1418132422989549,8,51.760841,-1.261844,59.431059,2.439414,1.679102,4.574290,5735868.125155,619955.931255,-59.431059,30U
1418132423189389,8,51.760841,-1.261843,59.405203,2.439427,1.679163,4.574372,5735868.120723,619955.948066,-59.405203,30U
1418132423389421,8,51.760841,-1.261843,59.429620,2.439553,1.679203,4.574358,5735868.103240,619955.943620,-59.429620,30U
1418132423589453,8,51.760841,-1.261844,59.567082,2.439591,1.679206,4.574192,5735868.081292,619955.916021,-59.567082,30U
