timestamp,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1403537850763040,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659817,5736388.378995,620156.025017,-110.659817,30U,0.002540,0.011453,0.002105,-0.072111,-0.006329,1.063058
1403537850791482,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659774,5736388.379000,620156.025224,-110.659774,30U,0.002682,0.011341,0.002219,-0.072109,-0.006328,1.063064
1403537850803156,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659729,5736388.379005,620156.025431,-110.659729,30U,0.002841,0.011293,0.002269,-0.072112,-0.006330,1.063066
1403537850823663,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659685,5736388.379122,620156.025704,-110.659685,30U,0.002802,0.011275,0.002103,-0.072113,-0.006330,1.063071
1403537850843250,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659646,5736388.379127,620156.025911,-110.659646,30U,0.002397,0.011172,0.001711,-0.072117,-0.006328,1.063075
1403537850863154,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659611,5736388.379244,620156.026116,-110.659611,30U,0.002277,0.011250,0.001805,-0.072125,-0.006329,1.063075
1403537850886295,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659574,5736388.379249,620156.026323,-110.659574,30U,0.001838,0.011457,0.001936,-0.072132,-0.006330,1.063072
1403537850903060,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659534,5736388.379366,620156.026596,-110.659534,30U,0.001495,0.011583,0.002106,-0.072138,-0.006332,1.063069
1403537850923395,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659493,5736388.379371,620156.026803,-110.659493,30U,0.001220,0.011716,0.001923,-0.072143,-0.006334,1.063063
1403537850943175,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659455,5736388.379376,620156.027010,-110.659455,30U,0.001011,0.011618,0.001844,-0.072147,-0.006334,1.063057
1403537850963039,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659415,5736388.379383,620156.027286,-110.659415,30U,0.001206,0.011516,0.002080,-0.072149,-0.006334,1.063053
1403537850991185,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659372,5736388.379388,620156.027493,-110.659372,30U,0.001250,0.011415,0.002142,-0.072150,-0.006332,1.063050
1403537851005551,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659330,5736388.379504,620156.027697,-110.659330,30U,0.001248,0.011481,0.001983,-0.072153,-0.006332,1.063046
1403537851023314,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659293,5736388.379510,620156.027973,-110.659293,30U,0.001197,0.011492,0.001691,-0.072155,-0.006331,1.063049
1403537851043395,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659262,5736388.379515,620156.028180,-110.659262,30U,0.001261,0.011514,0.001398,-0.072157,-0.006329,1.063054
1403537851063108,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659233,5736388.379520,620156.028387,-110.659233,30U,0.001205,0.011462,0.001420,-0.072155,-0.006327,1.063059
1403537851086178,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659202,5736388.379638,620156.028661,-110.659202,30U,0.001140,0.011528,0.001567,-0.072153,-0.006325,1.063063
1403537851103181,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659173,5736388.379643,620156.028868,-110.659173,30U,0.001039,0.011690,0.001280,-0.072151,-0.006324,1.063066
1403537851123568,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659151,5736388.379650,620156.029144,-110.659151,30U,0.000676,0.011752,0.000937,-0.072150,-0.006326,1.063071
1403537851143781,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659134,5736388.379655,620156.029351,-110.659134,30U,0.000554,0.011795,0.000860,-0.072148,-0.006327,1.063069
1403537851163424,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659116,5736388.379660,620156.029558,-110.659116,30U,0.000073,0.011869,0.000796,-0.072143,-0.006330,1.063068
1403537851192768,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659101,5736388.379666,620156.029834,-110.659101,30U,0.000326,0.011851,0.000720,-0.072139,-0.006331,1.063062
1403537851204413,INS_SOLUTION_GOOD,51.765474,-1.258766,110.659088,5736388.379671,620156.030041,-110.659088,30U,0.000282,0.011660,0.000521,-0.072133,-0.006331,1.063057
