timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1403537850806646,5,51.765478,-1.258754,65.598900,2.689300,1.923900,6.050300,5736388.874728,620156.814550,-65.598900,30U
1403537851001658,5,51.765478,-1.258754,65.481000,2.691400,1.923500,6.048700,5736388.858549,620156.835218,-65.481000,30U
1403537851215514,5,51.765478,-1.258754,65.470700,2.689200,1.923400,6.049100,5736388.882290,620156.833533,-65.470700,30U
1403537851406924,5,51.765478,-1.258754,65.508900,2.716300,1.926600,6.061200,5736388.874586,620156.820679,-65.508900,30U
1403537851606225,5,51.765478,-1.258754,65.500000,2.713300,1.927200,6.064100,5736388.884150,620156.823104,-65.500000,30U
1403537851802122,5,51.765479,-1.258754,65.564300,2.713500,1.927300,6.065000,5736388.931682,620156.803923,-65.564300,30U
1403537852002190,5,51.765478,-1.258754,65.422700,2.751700,1.931700,6.081700,5736388.885222,620156.840112,-65.422700,30U
1403537852216095,5,51.765478,-1.258754,65.488200,2.689100,1.924500,6.055300,5736388.911280,620156.817314,-65.488200,30U
1403537852406715,5,51.765478,-1.258754,65.454300,2.792000,1.936100,6.098800,5736388.877601,620156.826784,-65.454300,30U
1403537852606360,5,51.765478,-1.258754,65.407400,2.797400,1.936900,6.101700,5736388.887068,620156.845357,-65.407400,30U
1403537852806242,5,51.765478,-1.258753,65.409800,2.902800,1.950100,6.151100,5736388.893627,620156.864258,-65.409800,30U
1403537853002226,5,51.765479,-1.258753,65.462000,2.902900,1.951800,6.158800,5736388.934882,620156.882493,-65.462000,30U
1403537853215602,5,51.765480,-1.258753,65.579100,2.671200,1.927200,6.070300,5736389.075547,620156.889917,-65.579100,30U
1403537853407388,5,51.765480,-1.258752,65.620100,2.668400,1.942100,6.138500,5736389.063187,620156.926391,-65.620100,30U
1403537853606641,5,51.765480,-1.258752,65.570700,2.673000,1.940100,6.128200,5736389.108956,620156.983230,-65.570700,30U
1403537853807389,5,51.765480,-1.258751,65.533800,2.686100,1.941500,6.134400,5736389.134468,620157.042513,-65.533800,30U
1403537854006939,5,51.765481,-1.258750,65.586500,2.682100,1.940900,6.131500,5736389.242169,620157.097894,-65.586500,30U
1403537854217269,4,51.765472,-1.258744,64.429300,4.334100,2.199000,7.093900,5736388.213040,620157.540141,-64.429300,30U
1403537854406897,5,51.765472,-1.258742,64.390500,4.334100,2.199300,7.095400,5736388.255950,620157.642950,-64.390500,30U
1403537854606050,6,51.765473,-1.258741,64.397100,4.320500,2.164900,6.947800,5736388.345355,620157.740670,-64.397100,30U
1403537854806442,6,51.765483,-1.258743,65.341100,2.685900,1.911400,6.009100,5736389.427343,620157.539333,-65.341100,30U
1403537855006575,6,51.765483,-1.258741,65.286500,2.685800,1.911400,6.009400,5736389.488347,620157.679512,-65.286500,30U
1403537855218206,6,51.765485,-1.258740,65.414300,2.682500,1.911900,6.013800,5736389.636888,620157.786227,-65.414300,30U
1403537855406966,6,51.765488,-1.258740,66.050000,2.638500,1.885900,5.914300,5736389.986371,620157.769370,-66.050000,30U
1403537855606434,6,51.765491,-1.258740,66.682900,2.474500,1.808200,5.642100,5736390.287241,620157.765839,-66.682900,30U
1403537855802080,4,51.765488,-1.258746,69.327600,2.713300,3.551700,12.855800,5736390.020234,620157.317111,-69.327600,30U
1403537856001489,4,51.765489,-1.258742,69.218500,2.716000,3.554500,12.867900,5736390.128793,620157.600533,-69.218500,30U
1403537856215479,4,51.765491,-1.258739,69.211200,2.711000,3.550000,12.852500,5736390.293572,620157.857573,-69.211200,30U
1403537856406357,4,51.765492,-1.258734,69.158100,2.761700,3.600500,13.045100,5736390.430861,620158.160672,-69.158100,30U
1403537856607084,4,51.765493,-1.258730,69.281400,2.761800,3.600400,13.046700,5736390.604527,620158.447761,-69.281400,30U
1403537856807013,4,51.765495,-1.258726,69.532200,2.892400,3.731500,13.544400,5736390.786489,620158.702906,-69.532200,30U
1403537857007521,4,51.765496,-1.258721,69.352500,2.724400,3.563700,12.910600,5736390.961865,620159.047737,-69.352500,30U
1403537857216259,5,51.765497,-1.258715,69.209600,2.723300,3.562500,12.907700,5736391.066369,620159.441146,-69.209600,30U
1403537857407135,5,51.765499,-1.258697,65.840200,2.712800,3.088600,11.005400,5736391.306132,620160.673855,-65.840200,30U
1403537857606298,3,51.765500,-1.258694,65.632400,2.712800,3.088700,11.006100,5736391.434034,620160.900295,-65.632400,30U
1403537857800626,3,51.765500,-1.258694,65.632400,2.712800,3.088700,11.006100,5736391.434034,620160.900295,-65.632400,30U
1403537858000105,3,51.765500,-1.258694,65.632400,2.712800,3.088700,11.006100,5736391.434034,620160.900295,-65.632400,30U
1403537858214790,3,51.765500,-1.258694,65.632400,2.712800,3.088700,11.006100,5736391.434034,620160.900295,-65.632400,30U
1403537858402447,3,51.765500,-1.258694,65.632400,2.712800,3.088700,11.006100,5736391.434034,620160.900295,-65.632400,30U
1403537858602191,3,51.765500,-1.258694,65.632400,2.712800,3.088700,11.006100,5736391.434034,620160.900295,-65.632400,30U
