source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw
1418381152915431,1418381152852941,9.354865e-06,-1.812641e-05,6.315727e-06,-8.438589e-06,-3.078946e-06,9.354927e-07
1418381152977923,1418381152915431,-1.431407e-05,-1.493897e-05,-1.657967e-05,4.483775e-07,-3.362238e-06,4.842293e-07
1418381153040411,1418381152977923,2.478800e-05,6.993855e-06,-2.760869e-06,-7.359275e-06,1.370167e-06,-6.339562e-07
1418381153102900,1418381153040411,3.613998e-05,2.491476e-05,-1.253964e-05,9.504715e-06,-5.422971e-07,-1.768359e-06
1418381153165386,1418381153102900,-1.551473e-05,-7.893487e-06,1.153995e-06,-4.553490e-06,-3.059395e-06,3.962420e-07
1418381153227875,1418381153165386,9.188554e-07,2.157623e-06,-2.067526e-06,6.219584e-06,-3.203356e-06,-1.588732e-06
1418381153290366,1418381153227875,1.056853e-05,8.801680e-06,3.794774e-06,1.802627e-06,1.839920e-06,1.109557e-06
1418381153352853,1418381153290366,1.754932e-05,1.141632e-05,3.463997e-06,-2.279869e-06,1.395714e-06,-1.602214e-06
1418381153415343,1418381153352853,-7.656441e-06,-3.311008e-06,-3.646472e-06,1.157093e-06,-3.387664e-06,-1.782118e-06
1418381153477832,1418381153415343,1.287616e-05,-1.648430e-06,9.031212e-06,8.764424e-06,-2.515836e-06,6.640753e-06
1418381153540317,1418381153477832,-6.822410e-07,1.272155e-06,1.028751e-07,8.009244e-07,-7.485626e-07,-3.142782e-06
1418381153602808,1418381153540317,5.459813e-06,2.152401e-06,-2.146116e-06,1.738171e-06,1.470544e-06,6.124094e-07
1418381153665298,1418381153602808,5.247867e-06,1.756401e-05,-9.943929e-07,1.400260e-05,-1.282168e-06,-6.068592e-06
1418381153727784,1418381153665298,-5.942179e-06,3.645524e-06,1.697900e-06,-4.817144e-06,9.252042e-07,3.186179e-07
1418381153790275,1418381153727784,-9.178650e-06,-5.709117e-06,-3.381955e-06,3.335802e-06,-1.158950e-06,5.359050e-07
1418381153852764,1418381153790275,7.427597e-06,1.171603e-06,-1.671674e-06,5.589218e-06,-9.357299e-08,-1.462097e-06
1418381153915253,1418381153852764,2.091443e-05,1.451662e-05,-1.764152e-06,-5.736328e-06,-1.510571e-06,-2.191375e-06
1418381153977740,1418381153915253,-1.492379e-06,-7.639011e-06,2.076376e-07,-5.089661e-06,-2.689586e-07,7.335155e-07
1418381154040232,1418381153977740,7.624227e-06,9.772534e-08,-3.438370e-06,-5.013289e-06,7.911885e-07,-1.334836e-06
1418381154102720,1418381154040232,-4.254589e-05,1.666620e-05,-6.772279e-06,3.388318e-06,-2.269062e-06,-9.646425e-07
1418381154165207,1418381154102720,1.204107e-05,5.324503e-06,3.415036e-06,-4.514510e-06,-5.155321e-06,-1.615248e-07
1418381154227696,1418381154165207,4.554832e-06,2.261332e-06,-7.301755e-07,3.257701e-06,-2.256595e-06,-3.580120e-07
1418381154290183,1418381154227696,-1.245629e-05,7.404809e-06,1.015542e-05,6.544513e-06,2.416171e-06,-6.042680e-07
1418381154352673,1418381154290183,-3.244074e-06,-1.118828e-05,-1.986181e-06,1.292078e-06,8.488145e-07,4.155383e-06
1418381154415162,1418381154352673,-1.544065e-06,3.017764e-06,-2.841234e-07,-1.851535e-07,-3.216289e-07,-2.774534e-06
1418381154477650,1418381154415162,1.328775e-05,9.589106e-06,6.703269e-06,8.879275e-06,-1.249322e-06,-1.250784e-06
1418381154540140,1418381154477650,6.892965e-06,-4.088915e-06,5.224588e-06,7.234287e-06,-1.623603e-06,3.786461e-08
1418381154602629,1418381154540140,-2.930295e-05,5.842343e-06,-7.172246e-06,6.367504e-06,6.284913e-07,-1.108048e-06
1418381154665117,1418381154602629,2.502969e-05,-1.233648e-05,2.388032e-05,-1.502928e-06,5.436971e-07,7.438456e-07
1418381154727605,1418381154665117,1.869778e-05,-1.013989e-05,7.919209e-06,1.254481e-06,7.940715e-07,1.517456e-06
1418381154790096,1418381154727605,4.277388e-05,9.744085e-06,3.751975e-05,-4.430889e-06,3.940277e-06,-2.490196e-06
